No.,Peak,Location,Prominence (m),Height (m),Col (m),Encirclement Parent,Prominence Parent,Range (or island),,,,,,,,,,,,,,,,,,,,,,
1,Mount Everest,Nepal China,"8,848.86","8,848.86",0,None,None,Himalayas,,,,,,,,,,,,,,,,,,,,,,
22,K2,Pakistan,"4,017","8,611","4,594",Everest,Everest,Karakoram,,,,,,,,,,,,,,,,,,,,,,
29,Kanchenjunga,Nepal India,"3,922","8,586","4,664",Everest,Everest,Himalayas,,,,,,,,,,,,,,,,,,,,,,
55,Dhaulagiri,Nepal,"3,357","8,167","4,810",K2,K2,Himalayas,,,,,,,,,,,,,,,,,,,,,,
80,Manaslu,Nepal,"3,092","8,163","5,071",Everest,Everest,Himalayas,,,,,,,,,,,,,,,,,,,,,,
14,Nanga Parbat,Pakistan,"4,608","8,125","3,517",Everest,Everest,Himalayas,,,,,,,,,,,,,,,,,,,,,,
94,Annapurna,Nepal,"2,984","8,091","5,107",Everest,Everest,Himalayas,,,,,,,,,,,,,,,,,,,,,,
111,Shishapangma,China,"2,897","8,027","5,130",Annapurna,Annapurna,Himalayas,,,,,,,,,,,,,,,,,,,,,,
74,Nanda Devi,India,"3,139","7,816","4,677",K2,Dhaulagiri,Himalayas,,,,,,,,,,,,,,,,,,,,,,
77,Batura Sar,Pakistan,"3,118","7,795","4,677",K2,K2,Karakoram,,,,,,,,,,,,,,,,,,,,,,
122,Rakaposhi,Pakistan,"2,818","7,788","4,970",K2,K2,Karakoram,,,,,,,,,,,,,,,,,,,,,,
19,Namcha Barwa,China,"4,106","7,782","3,676",Everest,Everest,Himalayas,,,,,,,,,,,,,,,,,,,,,,
121,Kamet,India,"2,825","7,756","4,931",Nanda Devi,Nanda Devi,Himalayas,,,,,,,,,,,,,,,,,,,,,,
30,Tirich Mir,Pakistan,"3,908","7,708","3,800",Everest,K2,Hindu Kush,,,,,,,,,,,,,,,,,,,,,,
49,Kongur Tagh,China,"3,585","7,649","4,064",Everest,K2,Kongur Shan,,,,,,,,,,,,,,,,,,,,,,
92,Gangkhar Puensum,China Bhutan,"2,995","7,570","4,575",Kangchenjunga,Kangchenjunga,Himalayas,,,,,,,,,,,,,,,,,,,,,,
47,Mount Gongga,China,"3,642","7,556","3,914",Everest,K2,Daxue Mountains,,,,,,,,,,,,,,,,,,,,,,
54,Ismoil Somoni Peak,Tajikistan,"3,402","7,495","4,093",Everest,K2,Pamir Mountains,,,,,,,,,,,,,,,,,,,,,,
16,Jengish Chokusu,China Kyrgyzstan,"4,148","7,439","3,291",Everest,Everest,Kakshaal Too,,,,,,,,,,,,,,,,,,,,,,
100,Gyala Peri,China,"2,942","7,294","4,352",K2,Dhaulagiri,Nyenchen Tanglha Mountains,,,,,,,,,,,,,,,,,,,,,,
2,Aconcagua,Argentina,"6,960.80","6,960.80",0,None,None,Andes,,,,,,,,,,,,,,,,,,,,,,
44,Ojos del Salado,Argentina Chile,"3,688","6,893","3,205",Aconcagua,Aconcagua,Andes,,,,,,,,,,,,,,,,,,,,,,
118,Kuh-e Bandaka,Afghanistan,"2,834","6,812","3,978",Tirich Mir,Tirich Mir,Hindu Kush,,,,,,,,,,,,,,,,,,,,,,
103,Chakragil,China,"2,934","6,760","3,826",Everest,Gongga,Kunlun Mountains,,,,,,,,,,,,,,,,,,,,,,
56,Mercedario,Argentina,"3,353","6,720","3,367",Aconcagua,Aconcagua,Cordillera de la Ramada,,,,,,,,,,,,,,,,,,,,,,
84,Xuelian Feng,China,"3,068","6,627","3,559",Jengish Chokusu,Jengish Chokusu,Tian Shan,,,,,,,,,,,,,,,,,,,,,,
117,Buni Zom,Pakistan,"2,845","6,542","3,697",Everest,K2,Hindu Raj,,,,,,,,,,,,,,,,,,,,,,
18,Chimborazo,Ecuador,"4,118","6,263","2,145",Aconcagua,Aconcagua,Cordillera Occidental,,,,,,,,,,,,,,,,,,,,,,
3,Denali,United States,"6,144","6,191",47,Aconcagua,Aconcagua,Alaska Range,,,,,,,,,,,,,,,,,,,,,,
6,Mount Logan,Canada,"5,250","5,959",709,Denali,Denali,Saint Elias Mountains,,,,,,,,,,,,,,,,,,,,,,
4,Mount Kilimanjaro*,Tanzania,"5,885","5,895",10,Everest,Everest,Eastern Rift mountains,,,,,,,,,,,,,,,,,,,,,,
5,Pico Cristóbal Colón,Colombia,"5,509","5,700",191,Aconcagua,Aconcagua,Sierra Nevada de Santa Marta,,,,,,,,,,,,,,,,,,,,,,
10,Mount Elbrus,Russia,"4,741","5,642",901,Everest,Everest,Caucasus Mountains,,,,,,,,,,,,,,,,,,,,,,
7,Pico de Orizaba,Mexico,"4,922","5,636",714,Mount Logan,Mount Logan,Trans-Mexican Volcanic Belt,,,,,,,,,,,,,,,,,,,,,,
12,Mount Damavand,Iran,"4,667","5,610",943,Mount Elbrus,Mount Elbrus,Alborz,,,,,,,,,,,,,,,,,,,,,,
71,Jade Dragon Snow Mountain,China,"3,202","5,596","2,394",Everest,K2,Yun Range,,,,,,,,,,,,,,,,,,,,,,
69,Cerro del Bolsón,Argentina,"3,252","5,552","2,300",Aconcagua,Ojos del Salado,Andes,,,,,,,,,,,,,,,,,,,,,,
53,Mount Saint Elias,Canada United States,"3,448","5,489","2,041",Mount Logan,Mount Logan,Saint Elias Mountains,,,,,,,,,,,,,,,,,,,,,,
17,Bogda Peak,China,"4,122","5,445","1,323",Everest,Everest,Bogda Shan,,,,,,,,,,,,,,,,,,,,,,
46,Ritacuba Blanco,Colombia,"3,645","5,410","1,765",Aconcagua,Chimborazo,Cordillera Oriental,,,,,,,,,,,,,,,,,,,,,,
89,Popocatepetl,Mexico,"3,020","5,400","2,380",Orizaba,Orizaba,Trans-Mexican Volcanic Belt,,,,,,,,,,,,,,,,,,,,,,
86,Mount Lucania,Canada,"3,046","5,226","2,180",Mount Logan,Mount Logan,Saint Elias Mountains,,,,,,,,,,,,,,,,,,,,,,
32,Mount Kenya,Kenya,"3,825","5,199","1,374",Kilimanjaro,Kilimanjaro,Eastern Rift mountains,,,,,,,,,,,,,,,,,,,,,,
48,Mount Ararat,Turkey,"3,611","5,137","1,526",Damavand,Damavand,Armenian Highlands,,,,,,,,,,,,,,,,,,,,,,
28,Mount Stanley,DR Congo Uganda,"3,951","5,109","1,158",Kilimanjaro,Kilimanjaro,Rwenzori Mountains,,,,,,,,,,,,,,,,,,,,,,
50,Mount Blackburn,United States,"3,535","4,996","1,461",Mount Logan,Mount Logan,Wrangell Mountains,,,,,,,,,,,,,,,,,,,,,,
25,Pico Bolívar,Venezuela,"3,957","4,981","1,024",Aconcagua,Chimborazo,Sierra Nevada de Mérida,,,,,,,,,,,,,,,,,,,,,,
95,Pik Talgar,Kazakhstan,"2,982","4,979","1,997",Everest,Jengish Chokusu,Trans-Ili Alatau,,,,,,,,,,,,,,,,,,,,,,
125,Jiuding Shan,China,"2,808","4,969","2,161",Everest,K2,Daxue Mountains,,,,,,,,,,,,,,,,,,,,,,
70,Tomort,China,"3,243","4,886","1,643",Bogda Feng,Bogda Feng,Tian Shan,,,,,,,,,,,,,,,,,,,,,,
66,Sabalan,Iran,"3,283","4,811","1,528",Mount Ararat,Mount Ararat,Alborz,,,,,,,,,,,,,,,,,,,,,,
11,Mont Blanc,Italy France,"4,695","4,808",113,Everest,Everest,Alps,,,,,,,,,,,,,,,,,,,,,,
13,Klyuchevskaya Sopka,Russia,"4,649","4,750",101,Everest,Everest,Kamchatka,,,,,,,,,,,,,,,,,,,,,,
26,Mount Fairweather,Canada United States,"3,955","4,671",722,Mount Logan,Mount Logan,Saint Elias Mountains,,,,,,,,,,,,,,,,,,,,,,
72,Mount Meru,Tanzania,"3,170","4,565","1,395",Mount Kenya,Mount Kenya,Eastern Rift mountains,,,,,,,,,,,,,,,,,,,,,,
23,Ras Dashen,Ethiopia,"3,997","4,550",553,Kilimanjaro,Kilimanjaro,Semien Mountains,,,,,,,,,,,,,,,,,,,,,,
97,Mount Wilhelm,Papua New Guinea,"2,969","4,509","1,540",Puncak Jaya,Puncak Jaya,Bismarck Range,,,,,,,,,,,,,,,,,,,,,,
61,Mount Karisimbi,DR Congo Rwanda,"3,312","4,507","1,195",Mount Stanley,Mount Stanley,Virunga Mountains,,,,,,,,,,,,,,,,,,,,,,
58,Belukha Mountain,Kazakhstan Russia,"3,343","4,506","1,163",Everest,K2,Altai Mountains,,,,,,,,,,,,,,,,,,,,,,
81,Mount Whitney,United States,"3,073","4,418","1,345",Orizaba,Orizaba,Sierra Nevada,,,,,,,,,,,,,,,,,,,,,,
21,Mount Rainier,United States,"4,023","4,393",370,Denali,Orizaba,Cascade Range,,,,,,,,,,,,,,,,,,,,,,
96,Mount Shasta,United States,"2,977","4,317","1,340",Orizaba,Whitney,Cascade Range,,,,,,,,,,,,,,,,,,,,,,
24,Volcán Tajumulco,Guatemala,"3,980","4,220",240,Denali,Orizaba,Sierra Madre de Chiapas,,,,,,,,,,,,,,,,,,,,,,
51,Mount Hayes,United States,"3,501","4,216",715,Denali,Denali,Alaska Range,,,,,,,,,,,,,,,,,,,,,,
36,Toubkal,Morocco,"3,757","4,167",410,Kilimanjaro,Stanley,Atlas Mountains,,,,,,,,,,,,,,,,,,,,,,
108,El Mela,Argentina,"2,907","4,150","1,243",Aconcagua,Ojos del Salado,Andes,,,,,,,,,,,,,,,,,,,,,,
41,Mount Boising,Papua New Guinea,"3,709","4,150",441,Puncak Jaya,Puncak Jaya,Finisterre Range,,,,,,,,,,,,,,,,,,,,,,
42,Monte San Valentin,Chile,"3,696","4,058",362,Aconcagua,Aconcagua,Andes,,,,,,,,,,,,,,,,,,,,,,
31,Mount Cameroon,Cameroon,"3,901","4,040",139,Kilimanjaro,Stanley,Cameroon line,,,,,,,,,,,,,,,,,,,,,,
63,Mount Waddington,Canada,"3,289","4,019",730,Mount Fairweather,Mount Fairweather,Coast Mountains,,,,,,,,,,,,,,,,,,,,,,
67,Mount Marcus Baker,United States,"3,269","3,991",747,Mount Hayes,Mount Hayes,Chugach Mountains,,,,,,,,,,,,,,,,,,,,,,
119,Mount Robson,Canada,"2,829","3,959","1,130",Orizaba,Whitney,Canadian Rockies,,,,,,,,,,,,,,,,,,,,,,
109,Taftan,Iran,"2,901","3,941","1,040",Sabalan,Sabalan,Baluchestan Mountains,,,,,,,,,,,,,,,,,,,,,,
68,Sauyr Zhotasy,China Kazakhstan,"3,252","3,840",588,Everest,Belukha,Saur Mountains,,,,,,,,,,,,,,,,,,,,,,
113,Saramati,India Myanmar,"2,885","3,826",941,Everest,Dhaulagiri,Patkai,,,,,,,,,,,,,,,,,,,,,,
37,Cerro Chirripó,Costa Rica,"3,727","3,820",93,Aconcagua,Chimborazo,Cordillera de Talamanca,,,,,,,,,,,,,,,,,,,,,,
60,Monte San Lorenzo,Argentina Chile,"3,319","3,706",387,Aconcagua,Aconcagua,Andes,,,,,,,,,,,,,,,,,,,,,,
106,Mount Suckling,Papua New Guinea,"2,925","3,676",751,Puncak Jaya,Puncak Jaya,Owen Stanley Range,,,,,,,,,,,,,,,,,,,,,,
62,Jabal an Nabi Shu'ayb,Yemen,"3,311","3,666",355,Everest,Ararat,Sarawat Mountains,,,,,,,,,,,,,,,,,,,,,,
57,Lautaro,Chile,"3,345","3,623",278,Aconcagua,Aconcagua,Andes,,,,,,,,,,,,,,,,,,,,,,
75,Ichinsky,Russia,"3,125","3,607",482,Klyuchevskaya,Klyuchevskaya,Sredinny Range,,,,,,,,,,,,,,,,,,,,,,
105,Monarch Mountain,Canada,"2,930","3,555",625,Denali,Waddington,Coast Mountains,,,,,,,,,,,,,,,,,,,,,,
64,Mulhacén,Spain,"3,285","3,479",194,Mont Blanc,Mont Blanc,Sierra Nevada,,,,,,,,,,,,,,,,,,,,,,
101,Mount Leuser,Indonesia,"2,941","3,466",525,Mount Kerinci,Mount Kerinci,Sumatra,,,,,,,,,,,,,,,,,,,,,,
91,Koryaksky,Russia,"2,999","3,456",457,Klyuchevskaya,Klyuchevskaya,Sredinny Range,,,,,,,,,,,,,,,,,,,,,,
104,Emi Koussi,Chad,"2,934","3,445",511,Kilimanjaro,Karisimbi,Tibesti Mountains,,,,,,,,,,,,,,,,,,,,,,
65,Mount Slamet,Indonesia,"3,284","3,428",144,Semeru,Semeru,Java,,,,,,,,,,,,,,,,,,,,,,
123,Aneto,Spain,"2,812","3,404",592,Mulhacén,Mulhacén,Pyrenees,,,,,,,,,,,,,,,,,,,,,,
124,Arjuno-Welirang,Indonesia,"2,812","3,339",527,Semeru,Semeru,Java,,,,,,,,,,,,,,,,,,,,,,
83,Raung,Indonesia,"3,069","3,332",263,Semeru,Semeru,Java,,,,,,,,,,,,,,,,,,,,,,
73,Shiveluch,Russia,"3,168","3,307",139,Klyuchevskaya,Klyuchevskaya,Kamchatka,,,,,,,,,,,,,,,,,,,,,,
76,Mount Lawu,Indonesia,"3,118","3,265",147,Semeru,Semeru,Java,,,,,,,,,,,,,,,,,,,,,,
110,Jabal Shams,Oman,"2,899","3,019",120,Everest,Jabal an Nabi Shu'ayb,Al Hajar Mountains,,,,,,,,,,,,,,,,,,,,,,
112,Pico da Neblina,Brazil,"2,886","2,994",108,Aconcagua,Ritacuba Blanco,Cerro de la Neblina,,,,,,,,,,,,,,,,,,,,,,
116,Moncong Lompotabang,Indonesia,"2,857","2,874",17,Latimojong,Latimojong,Sulawesi,,,,,,,,,,,,,,,,,,,,,,
